name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Ngong Road Forest Sanctuary,ChIJM1Zl0vsaLxgRntzSlILvwGg,"forest, Ngong Rd, Ngong, Kenya",Ngong,-1.3090279,36.7491506,http://www.ngongroadforest.com/,https://maps.google.com/?cid=7548296319594585246,4.4,(5925),aerial; running,aerial-antigravity-yoga; running,establishment; park; point_of_interest; tourist_attraction
Watamu Treehouse,ChIJwxGunfx_FRgRwRkSWmHtY6s,"Turtle Bay Road, Watamu, Kenya",,-3.378648,39.9861335,http://www.treehouse.co.ke/,https://maps.google.com/?cid=12349975605558778305,4.6,(105),aerial,aerial-antigravity-yoga,establishment; food; gym; health; lodging; point_of_interest; restaurant
oxygen fitness,ChIJ1eR85MAfLxgRPg21oRKESvM,"QM3H+4JH, Rungiri, Kenya",,-1.2471951,36.6790986,,https://maps.google.com/?cid=17530969715050351934,,,aerial,aerial-antigravity-yoga,establishment; gym; health; point_of_interest
Phelistar aerial,ChIJeVcPCNwRLxgR2bMNVte6GzM,"Luthuli street , munyu junction Luthuli street, Nairobi, Kenya",,-1.2840198,36.8280188,,https://maps.google.com/?cid=3682742554329986009,5,(1),aerial,aerial,establishment; point_of_interest
Astral Aerial Solutions,ChIJM1LQ3IASLxgRqRxedy8MYe0,"Western Heights, Nairobi, Kenya",,-1.2594124,36.8007138,http://www.astral-aerial.com/,https://maps.google.com/?cid=17104966257735507113,4.7,(42),aerial,aerial,establishment; point_of_interest
Central Aerial Kenya Ltd.,ChIJcXpq5kwTLxgRvIBpTOcn0IY,"Eastern Bypass, Nairobi, Kenya",,-1.2872072,36.95250160000001,,https://maps.google.com/?cid=9714308270611071164,3.7,(3),aerial,aerial,establishment; point_of_interest
AERIAL ACCESS KENYA,ChIJI0l63WoVLxgRohs8frv2dKM,"Exit 7, Off Thika Super Highway, Next to Mwalimu Auto Express 76711, Nairobi, Kenya",,-1.2327712,36.8731016,,https://maps.google.com/?cid=11778310210617875362,,,aerial,aerial,establishment; point_of_interest
Aerial Centre,ChIJ5bhXSP4QLxgR8UGBaSRAnEc,"MRRF+PC2, Birongo Square, Nairobi, Kenya",,-1.3082477,36.82352789999999,,https://maps.google.com/?cid=5160069798192824817,,,aerial,aerial,establishment; point_of_interest
South B. Aerial View,ChIJSemfwqoRLxgR4dyRieJkbIs,"MRQQ+H4V, Mpweke Lane, Nairobi, Kenya",,-1.3110079,36.8377835,,https://maps.google.com/?cid=10046515792890158305,,,aerial,aerial,establishment; point_of_interest; shopping_mall
Supersound Aerials,ChIJZyQs-ysRLxgRurMam9fYbSE,"1st Floor, Nairobi Safari Building, Charles Rubia Rd, Nairobi, Kenya",,-1.2830471,36.8297566,,https://maps.google.com/?cid=2408819796244870074,,,aerial,aerial,establishment; point_of_interest
